path,pred_label,confidence,p(Portraits),p(Protests),p(Casualities),p(Posts)
/content/drive/MyDrive/Data/Predict/453896450_515190554198981_8853191119383726600_n.jpg,notlabeled,0.7918,0.0816,0.7918,0.0492,0.0774
/content/drive/MyDrive/Data/Predict/454179258_1523205228405114_3745548901614933276_n.jpg,notlabeled,0.6968,0.0925,0.6968,0.0609,0.1498
/content/drive/MyDrive/Data/Predict/453985765_865981245591409_8875142014823665824_n.jpg,notlabeled,0.4291,0.1645,0.3395,0.4291,0.0669
/content/drive/MyDrive/Data/Predict/454080045_1181927193025961_5119277599049558552_n.heic,notlabeled,0.2626,0.2417,0.262,0.2337,0.2626
/content/drive/MyDrive/Data/Predict/454015203_1440215794038691_3770653036833067775_n.jpg,notlabeled,0.7926,0.0742,0.7926,0.0631,0.0701
/content/drive/MyDrive/Data/Predict/469165087_18313534909160034_4873024550964432880_n.jpg,notlabeled,0.7082,0.1538,0.0564,0.0817,0.7082
/content/drive/MyDrive/Data/Predict/454024582_1014840603675744_6728326748818438645_n.jpg,Posts,0.8115,0.1207,0.0351,0.0327,0.8115
/content/drive/MyDrive/Data/Predict/453871910_18008033093620795_7732570031291471837_n.jpg,notlabeled,0.5941,0.1042,0.1312,0.1705,0.5941
/content/drive/MyDrive/Data/Predict/453234129_8306941532670721_8268016720564347322_n.heic,notlabeled,0.4806,0.4806,0.2748,0.0638,0.1808
/content/drive/MyDrive/Data/Predict/453973232_18027301118253661_2263659326737828061_n.jpg,notlabeled,0.4128,0.377,0.048,0.1622,0.4128
/content/drive/MyDrive/Data/Predict/453903630_17848967499258586_8776125949375234316_n.jpg,notlabeled,0.4148,0.0586,0.4148,0.218,0.3086
/content/drive/MyDrive/Data/Predict/453969396_2464614567261631_2734123088088873113_n.jpg,notlabeled,0.5008,0.3273,0.0798,0.5008,0.0921
/content/drive/MyDrive/Data/Predict/453813678_1017301926472772_1668233670668811215_n.jpg,notlabeled,0.7963,0.0828,0.7963,0.0408,0.0801
/content/drive/MyDrive/Data/Predict/454029388_2869133536583935_4179020267054285163_n.jpg,notlabeled,0.6673,0.0586,0.6673,0.1579,0.1162
/content/drive/MyDrive/Data/Predict/454005896_2500540693667832_2029246993398943222_n.jpg,notlabeled,0.6796,0.1188,0.0788,0.1228,0.6796
/content/drive/MyDrive/Data/Predict/453750441_1690881155006397_341916016673827424_n.webp,notlabeled,0.3828,0.1041,0.2027,0.3828,0.3105
/content/drive/MyDrive/Data/Predict/467471408_17889257418110482_4818046501242241149_n.jpg,notlabeled,0.5229,0.0957,0.0876,0.5229,0.2938
/content/drive/MyDrive/Data/Predict/473055724_18475317862030740_4813663744764734747_n.jpg,notlabeled,0.7537,0.1272,0.0385,0.0806,0.7537
/content/drive/MyDrive/Data/Predict/453857438_1005225034227606_6591429370626532808_n.jpg,notlabeled,0.3466,0.2152,0.1289,0.3466,0.3093
/content/drive/MyDrive/Data/Predict/454157780_463037763208085_737816960202932496_n.jpg,notlabeled,0.3618,0.1943,0.1819,0.262,0.3618
/content/drive/MyDrive/Data/Predict/453903986_862237899148248_8328060458333106691_n.jpg,notlabeled,0.49,0.49,0.155,0.1212,0.2337
/content/drive/MyDrive/Data/Predict/453778012_500925032343532_6004162288917731972_n.webp,notlabeled,0.4247,0.0751,0.188,0.3123,0.4247
/content/drive/MyDrive/Data/Predict/453907986_1021395122829538_8548329321060040729_n.jpg,notlabeled,0.563,0.2392,0.093,0.1048,0.563
/content/drive/MyDrive/Data/Predict/454141538_856695006520557_3787329934713685364_n.jpg,notlabeled,0.4734,0.1576,0.0785,0.4734,0.2905
/content/drive/MyDrive/Data/Predict/453897182_17986806290701033_8468443798770955150_n.jpg,notlabeled,0.4964,0.1976,0.1223,0.1836,0.4964
/content/drive/MyDrive/Data/Predict/454009913_1904716729975274_2327498266733297777_n.jpg,notlabeled,0.5985,0.2117,0.5985,0.1115,0.0783
/content/drive/MyDrive/Data/Predict/453922041_17986806281701033_157668269210602442_n.jpg,notlabeled,0.461,0.179,0.2034,0.1566,0.461
/content/drive/MyDrive/Data/Predict/453928925_699794842303809_490740634305437491_n.jpg,notlabeled,0.5742,0.0836,0.243,0.0992,0.5742
/content/drive/MyDrive/Data/Predict/453949277_1311456703566707_4215330405577143909_n.heic,notlabeled,0.5983,0.1801,0.1431,0.5983,0.0785
/content/drive/MyDrive/Data/Predict/454155130_1036114771562843_3736977671088643505_n.webp,notlabeled,0.5037,0.202,0.2301,0.5037,0.0642
/content/drive/MyDrive/Data/Predict/453862221_3807717169546745_4069861062076539137_n.heic,notlabeled,0.5874,0.1759,0.0528,0.1839,0.5874
/content/drive/MyDrive/Data/Predict/453097685_17896379289042107_1152849865001570926_n.jpg,notlabeled,0.7239,0.7239,0.0847,0.0528,0.1386
/content/drive/MyDrive/Data/Predict/467505283_17889257475110482_824719855911643075_n.jpg,notlabeled,0.4796,0.087,0.1563,0.2771,0.4796
/content/drive/MyDrive/Data/Predict/454075705_1565957680968511_2542168028866271253_n.heic,notlabeled,0.381,0.3472,0.0885,0.1832,0.381
/content/drive/MyDrive/Data/Predict/453971584_1473251073299484_437110581276714733_n.webp,notlabeled,0.6352,0.0376,0.2109,0.6352,0.1164
/content/drive/MyDrive/Data/Predict/453851424_1196321291816940_3882958161320016551_n.webp,notlabeled,0.4041,0.1544,0.1253,0.3162,0.4041
/content/drive/MyDrive/Data/Predict/469898630_18456190408068267_9030760099892023478_n.jpg,notlabeled,0.5864,0.1222,0.2063,0.0851,0.5864
/content/drive/MyDrive/Data/Predict/453847985_510546244771162_7580324076888548973_n.jpg,notlabeled,0.4397,0.1563,0.0858,0.4397,0.3182
/content/drive/MyDrive/Data/Predict/453774543_1509952219892720_1877411732333515182_n.webp,notlabeled,0.3365,0.2174,0.185,0.2611,0.3365
/content/drive/MyDrive/Data/Predict/467505274_17889257607110482_939649623381482828_n.jpg,notlabeled,0.7109,0.0629,0.0516,0.7109,0.1747
/content/drive/MyDrive/Data/Predict/453775194_504215418659760_6423247021720384565_n.webp,notlabeled,0.3836,0.1467,0.1604,0.3093,0.3836
/content/drive/MyDrive/Data/Predict/469583656_18472845874008626_3957976756282300094_n.jpg,notlabeled,0.6275,0.2646,0.053,0.0549,0.6275
/content/drive/MyDrive/Data/Predict/468252505_18071188816719091_8746005985882296443_n.jpg,notlabeled,0.7605,0.1283,0.0604,0.0508,0.7605
/content/drive/MyDrive/Data/Predict/453895114_382371594876563_5428371995202275568_n.jpg,notlabeled,0.4035,0.1219,0.2946,0.4035,0.18
/content/drive/MyDrive/Data/Predict/454030453_17986806236701033_2873020214432018001_n.jpg,notlabeled,0.573,0.1962,0.1444,0.0864,0.573
/content/drive/MyDrive/Data/Predict/453988181_455534960787725_1319318249192561210_n.heic,notlabeled,0.4563,0.2316,0.2,0.4563,0.112
/content/drive/MyDrive/Data/Predict/454031554_482595204703400_5433170741239477882_n.webp,notlabeled,0.6787,0.0427,0.6787,0.1873,0.0913
/content/drive/MyDrive/Data/Predict/454182256_1245789766442365_4462981976562437965_n.webp,notlabeled,0.4197,0.046,0.4197,0.3452,0.1892
/content/drive/MyDrive/Data/Predict/467399664_17889257610110482_4717912525055099311_n.jpg,notlabeled,0.4298,0.0746,0.0989,0.4298,0.3967
/content/drive/MyDrive/Data/Predict/453716231_1046773530579569_8995720514109206743_n.jpg,notlabeled,0.4134,0.0986,0.121,0.367,0.4134
/content/drive/MyDrive/Data/Predict/469339634_18472845979008626_7525545811882993206_n.jpg,notlabeled,0.5818,0.215,0.0537,0.1496,0.5818
/content/drive/MyDrive/Data/Predict/454032694_17986806308701033_3236581588447133284_n.jpg,notlabeled,0.4265,0.0603,0.3951,0.1181,0.4265
/content/drive/MyDrive/Data/Predict/453733403_1452418062128661_922475895359531120_n.webp,notlabeled,0.734,0.0746,0.734,0.1326,0.0588
/content/drive/MyDrive/Data/Predict/454004896_1636216363833731_2489947338822303289_n.jpg,notlabeled,0.6794,0.0755,0.1607,0.0844,0.6794
/content/drive/MyDrive/Data/Predict/454180613_1184681426095814_6181438719358429117_n.jpg,notlabeled,0.6273,0.1129,0.0598,0.2,0.6273
/content/drive/MyDrive/Data/Predict/452403394_485431960751654_2309973894646995296_n.webp,notlabeled,0.5163,0.2675,0.5163,0.1115,0.1047
/content/drive/MyDrive/Data/Predict/453776433_983372666859705_3831864798705864164_n.jpg,notlabeled,0.5531,0.2976,0.0854,0.0639,0.5531
/content/drive/MyDrive/Data/Predict/454024917_1159313102018038_999327236792420259_n.jpg,notlabeled,0.5519,0.2968,0.0307,0.1206,0.5519
/content/drive/MyDrive/Data/Predict/454167071_868665671988576_2828760244496017498_n.jpg,notlabeled,0.6157,0.1404,0.6157,0.1117,0.1323
/content/drive/MyDrive/Data/Predict/453514044_859508005651322_5118397175987878673_n.jpg,notlabeled,0.6921,0.6921,0.1209,0.062,0.1249
/content/drive/MyDrive/Data/Predict/454048910_977047260786596_8624449663866143745_n.webp,notlabeled,0.4986,0.1293,0.4986,0.2299,0.1421
/content/drive/MyDrive/Data/Predict/453964942_1066195691513753_4453491939028300827_n.heic,notlabeled,0.3978,0.1748,0.0995,0.3279,0.3978
/content/drive/MyDrive/Data/Predict/454091216_464869989728039_5046379212511729833_n.jpg,Posts,0.8207,0.0956,0.0477,0.036,0.8207
/content/drive/MyDrive/Data/Predict/453608854_381863194928038_2720023782158010965_n.webp,notlabeled,0.3724,0.0927,0.1796,0.3554,0.3724
/content/drive/MyDrive/Data/Predict/453932702_881166743876658_8064397299736870999_n.heic,notlabeled,0.4241,0.3757,0.0704,0.1298,0.4241
/content/drive/MyDrive/Data/Predict/468020887_17880255684187556_149716307980281934_n.jpg,notlabeled,0.4193,0.1131,0.1639,0.4193,0.3036
/content/drive/MyDrive/Data/Predict/454151216_329093090297426_3657612740439192952_n.jpg,notlabeled,0.5489,0.1054,0.1423,0.5489,0.2034
/content/drive/MyDrive/Data/Predict/453894232_1135919550800002_3642937573674502663_n.heic,notlabeled,0.3604,0.3356,0.1827,0.3604,0.1214
/content/drive/MyDrive/Data/Predict/453766680_3809450029327100_6747330094069149917_n.webp,notlabeled,0.3871,0.3871,0.1611,0.2669,0.1848
/content/drive/MyDrive/Data/Predict/454121958_1225719582131411_5422351074676500978_n.jpg,notlabeled,0.3427,0.1299,0.3427,0.2661,0.2613
/content/drive/MyDrive/Data/Predict/469685161_18456190342068267_3665770942002143334_n.jpg,notlabeled,0.721,0.1011,0.1011,0.0768,0.721
/content/drive/MyDrive/Data/Predict/453914360_808676417728175_5840411118649133008_n.jpg,notlabeled,0.3744,0.3744,0.1896,0.109,0.3269
/content/drive/MyDrive/Data/Predict/467810904_17889257499110482_1846517678457438727_n.jpg,notlabeled,0.3626,0.2659,0.0474,0.3241,0.3626
/content/drive/MyDrive/Data/Predict/453852680_2253806531635742_272267913968153294_n.jpg,notlabeled,0.6042,0.0551,0.2178,0.1228,0.6042
